flow,super_class,cell_class,cell_sub_class,cell_type,region,side,cell_function,cell_function_detailed,peripheral_target_type,body_part_sensory,body_part_effector,nerve,hemilineage,neurotransmitter_verified,neuropeptide_verified,neurotransmitter_predicted,other_names,fafb_783_cell_type,manc_121_cell_type,fanc_1116_cell_type,hemibrain_121_cell_type,fafb_783_match_id,manc_121_match_id,fanc_1116_match_id,hemibrain_121_match_id
afferent,ascending,abdomen_motor_neuron,abdomen_multidendritic_neuron,[string],brain,left,antenna_motor,alcoholic_fermentation_volatile,accessory_tibia_flexor_muscle,abdomen,abdomen,abdominal_nerve_trunk,00A,acetylcholine,amn,acetylcholine,[string],[string],[string],[string],[string],[integer64],[integer],[integer],[integer]
efferent,ascending_visceral_circulatory,amacrine_medulla,abdomen_neurosecretory_cell,,central_brain,midline,anti_diuresis,amino_acids_Ir94e,accessory_trochanter_flexor_muscle,abdominal_wall,antenna,left_accessory_pharyngeal_nerve,00B,dopamine,AstA,dopamine,,,,,,,,,
intrinsic,central_brain_intrinsic,antenna_motor_neuron,abdomen_orphan_neuron,,neck_connective,right,aorta,animal_matter_volatile,adductor_muscle,antenna,corpus_allatum,left_antennal_nerve,01A,gaba,AstC,gaba,,,,,,,,,
,descending,antennal_lobe_centrifugal_neuron,abdomen_oxygenation_neuron,,optic_lobe,,cardiostimulation,auditory_high_frequency,antenna_muscle,anterior_digestive_tract,crop,left_anterior_dorsal_mesothoracic_nerve,01B,glutamate,Capa,glutamate,,,,,,,,,
,glia,antennal_lobe_local_neuron,abdomen_strand_neuron,,ventral_nerve_cord,,crop_motor,auditory_low_frequency,b1_muscle,aorta,digestive_tract,left_cervical_nerve,02A,histamine,CCAP,histamine,,,,,,,,,
,motor,antennal_lobe_output_neuron,abdominal_ppk_neuron,,,,diuresis,aversive_volatile,b2_muscle,coxa,eye,left_corpus_cardiacum_nerve,03A,nitric_oxide,CCHa1,octopamine,,,,,,,,,
,optic_lobe_intrinsic,antennal_lobe_projection_neuron,abdominal_terminalia_bristle,,,,energy_metabolism,bitter,b3_muscle,dorsal_cibarial_sense_organ,front_leg,left_dorsal_metathoracic_nerve,03B,octopamine,CNMa,serotonin,,,,,,,,,
,sensory,aorta_sensory_neuron,abdominal_wall_multidendritic_neuron,,,,feeding_suppression,bitter_Gr33a,bristle,eye,haltere,left_dorsal_prothoracic_nerve,04A,serotonin,Crz,tyramine,,,,,,,,,
,sensory_ascending,ascending_neuron,antenna_bristle_neuron,,,,food_intake,Capa,campaniform_sensillum,front_leg,hind_leg,left_eye_nerve,04B,tyramine,dARC1,,,,,,,,,,
,sensory_descending,bristle_neuron,antenna_campaniform_sensillum_neuron,,,,gustatory,carbon_dioxide_volatile,campaniform_sensillum_neuron,frontal,middle_leg,left_first_abdominal_nerve,05B,,Dh31,,,,,,,,,,
